Ticker,Max_Sharpe_Weight,Min_Vol_Weight
EFORC.IS,0.14999999999937458,0.05992081295286144
ASELS.IS,0.1499999999992769,0.010615406741424487
PASEU.IS,0.14999999999890357,0.07330226295660178
HALKB.IS,0.12313893098708244,1.2344172069031682e-17
ECILC.IS,0.08217853760371722,0.006033167156531841
GENTS.IS,0.07894792636091394,0.01776290605897751
AKSEN.IS,0.07091606223454194,0.0
GRTHO.IS,0.059357788488328296,0.01896981734642278
GENIL.IS,0.035947597414712096,0.03576529114195853
ENKAI.IS,0.03366400250421299,0.0051463833598328936
GRSEL.IS,0.03166578658045132,0.02523862372457303
KOZAL.IS,0.023075128891452246,2.2582139720527475e-17
SKBNK.IS,0.011108238932993016,5.75749112346265e-18
TUREX.IS,4.192074488601483e-13,0.01117142678879332
GSRAY.IS,1.4028843045168203e-13,0.0020670799925663064
TUPRS.IS,8.461196091078083e-14,0.10611785286821364
TABGD.IS,7.889128194925449e-14,0.09215167167482316
MPARK.IS,7.185987746266225e-14,0.07538942996953424
OBAMS.IS,6.211685308133457e-14,0.045293475269281146
ISFIN.IS,5.80556267341373e-14,0.02946864768340315
TAVHL.IS,4.978749002765615e-14,0.012589316296324354
TKFEN.IS,4.947504747895684e-14,0.020778103459622766
TTRAK.IS,3.373169071450176e-14,0.14999999999999994
DOHOL.IS,3.270788034463062e-14,0.03658628317747041
MAKIM.IS,3.1501696797334656e-14,0.03141537951694312
KOZAA.IS,2.8733604288639436e-14,0.0193886591093403
OYAKC.IS,2.5441861830205398e-14,0.019051340961287782
ANSGR.IS,2.4781246922187015e-14,0.06446681014770855
PAMEL.IS,2.2531943897858085e-14,0.007140718502498195
YESIL.IS,1.39865007507143e-14,0.018454913763995395
FENER.IS,1.3198187693187187e-15,0.005714219379009969
